vinted,wish,myeushop,kruidvat,marktplaats,instagram,facebook,youtube,twitter,amazon
122.967936,148.05504,122.145408,149.42592,237.16224,164.4804,122.66856,147.72492,159.8688,166.0176
121.459968,150.7968,122.282496,146.68416,226.1952,167.5548,121.74624,143.42076,202.9104,164.4804
115.565184,152.16768,113.508864,145.31328,226.1952,167.5548,179.8524,147.26376,233.6544,159.8688
119.403648,143.9424,115.565184,150.7968,235.79136,167.5548,130.662,144.65052,249.0264,156.7944
115.565184,150.7968,125.298432,146.68416,228.93696,169.092,181.3896,142.03728,158.3316,161.406
114.879744,142.57152,114.057216,149.42592,223.45344,169.092,120.05532,143.11332,145.72656,166.0176
123.242112,146.68416,116.113536,150.7968,226.1952,164.4804,118.21068,145.2654,146.64888,170.6292
115.565184,154.90944,113.78304,146.68416,235.79136,159.8688,127.28016,146.95632,164.4804,158.3316
125.709696,145.31328,118.718208,143.9424,228.93696,173.7036,148.3398,146.34144,182.9268,166.0176
120.63744,150.7968,122.419584,149.42592,227.56608,164.4804,182.9268,148.64724,149.877,164.4804
124.475904,152.16768,115.976448,148.05504,228.93696,162.9432,155.2572,153.25884,241.3404,167.5548
123.242112,148.05504,120.226176,150.7968,231.67872,167.5548,121.74624,148.80096,221.3568,164.4804
117.484416,153.53856,115.702272,154.90944,228.93696,167.5548,149.877,143.88192,142.80588,162.9432
118.58112,148.05504,122.69376,149.42592,228.93696,164.4804,181.3896,151.10676,187.5384,166.0176
114.879744,146.68416,122.00832,149.42592,227.56608,173.7036,148.03236,149.1084,272.0844,166.0176
121.32288,142.57152,116.113536,139.82976,226.1952,166.0176,144.4968,156.7944,192.15,164.4804
124.338816,150.7968,116.387712,143.9424,228.93696,166.0176,118.67184,148.95468,252.1008,169.092
113.920128,150.7968,121.597056,149.42592,228.93696,159.8688,147.72492,147.41748,247.4892,156.7944
116.113536,141.20064,119.26656,145.31328,228.93696,166.0176,144.4968,153.72,264.3984,159.8688
122.145408,146.68416,120.63744,146.68416,227.56608,169.092,148.18608,141.11496,224.4312,159.8688