youtube,twitter,facebook,instagram,amazon
192.024,133.9632,164.808,107.8056,161.784
192.024,103.572,175.392,94.6512,184.464
189,158.76,155.736,160.272,123.6816
193.536,131.9976,163.296,110.2248,161.784
193.536,109.7712,160.272,109.3176,152.712
193.536,115.5168,111.2832,154.224,163.296
184.464,179.928,120.3552,107.6544,163.296
195.048,122.9256,104.328,100.6992,151.2
193.536,120.3552,182.952,108.4104,160.272
192.024,184.464,121.8672,106.8984,149.9904
193.536,106.4448,170.856,106.7472,166.32
193.536,125.0424,161.784,110.6784,161.784
192.024,126.1008,181.44,99.792,166.32
193.536,100.2456,140.4648,107.2008,161.784
92.988,112.7952,120.8088,100.8504,163.296
187.488,136.6848,185.976,108.864,163.296
196.56,189,170.856,109.4688,166.32
187.488,120.204,135.4752,166.32,161.784
192.024,98.5824,152.712,108.4104,161.784
192.024,110.6784,150.2928,108.108,161.784